"corpusid","externalids","url","title","authors","venue","publicationvenueid","year","referencecount","citationcount","influentialcitationcount","isopenaccess","s2fieldsofstudy","publicationtypes","publicationdate","journal","corpusid"
"264043251","{acl=null, dblp=null, arxiv=null, mag=2295989183, corpusid=264043251, pubmed=26955968, doi=10.2174/1570159X14666160309114549, pubmedcentral=5327447}","https://www.semanticscholar.org/paper/6d115f38ee0e4fa0843c08614c9ea111c78082b2","Molecular and Cellular Mechanisms of Rapid-Acting Antidepressants Ketamine and Scopolamine","[]","Current Neuropharmacology","00b197ad-db71-4e63-95d6-23c50400ab53","2016","108","77","4","true","[{category=Medicine, source=s2-fos-model}, {category=Medicine, source=external}, {category=Psychology, source=external}]","[Review, JournalArticle]","2016-12-31","{name=Current Neuropharmacology, pages=11 - 20, volume=15}","264043251"
"9806093","{acl=null, dblp=null, arxiv=null, mag=2080915132, corpusid=9806093, pubmed=24550983, doi=10.1155/2014/170434, pubmedcentral=3914459}","https://www.semanticscholar.org/paper/04ef6eb827d6841530a2632312e70c62ae75fb30","Circulating Adipokines in Healthy versus Unhealthy Overweight and Obese Subjects","[{authorid=6292665, name=A. Alfadda}]","International Journal of Endocrinology","0822950e-275a-4312-9114-b1a6a5898af5","2014","40","34","3","true","[{category=Biology, source=s2-fos-model}, {category=Medicine, source=s2-fos-model}, {category=Medicine, source=external}]","[JournalArticle]","2014-01-16","{name=International Journal of Endocrinology, pages=null, volume=2014}","9806093"
"220120356","{acl=null, dblp=null, arxiv=null, mag=3028859673, corpusid=220120356, pubmed=32590810, doi=10.1097/MD.0000000000020984, pubmedcentral=7328972}","https://www.semanticscholar.org/paper/4a8d5109897ff46ed54df043c502e977f3e44d23","Xiaoaiping injection as adjunct therapy for patients with advanced esophageal carcinoma","[{authorid=2109342072, name=Zhen Liu}, {authorid=2188113016, name=Yanling Dong}, {authorid=1566783377, name=Meili Zhu}, {authorid=2067254214, name=Ying Mu}, {authorid=2146073100, name=Lemei Chen}]","Medicine","2ae18de8-1e0b-4f92-9aa3-866ffc4f36e7","2020","43","3","1","true","[{category=Medicine, source=s2-fos-model}, {category=Medicine, source=external}]","[JournalArticle, Review]","2020-05-26","{name=Medicine, pages=null, volume=99}","220120356"
"201115492","{acl=null, dblp=null, arxiv=null, mag=2969258598, corpusid=201115492, pubmed=31430331, doi=10.1371/journal.pone.0221338, pubmedcentral=6701781}","https://www.semanticscholar.org/paper/a0bdb00e98b12ed2609cc31ae99eac6f9929928e","Resource polymorphism in European whitefish: Analysis of fatty acid profiles provides more detailed evidence than traditional methods alone","[{authorid=145697566, name=Stephen M. Thomas}, {authorid=5188281, name=M. Kainz}, {authorid=87512898, name=P. Amundsen}, {authorid=143748772, name=B. Hayden}, {authorid=6979886, name=S. Taipale}, {authorid=6221891, name=K. Kahilainen}]","PLoS ONE","0aed7a40-85f3-4c66-9e1b-c1556c57001b","2019","78","10","0","true","[{category=Environmental Science, source=s2-fos-model}, {category=Biology, source=s2-fos-model}, {category=Medicine, source=external}, {category=Biology, source=external}]","[JournalArticle]","2019-08-20","{name=PLoS ONE, pages=null, volume=14}","201115492"
"227067890","{acl=null, dblp=null, arxiv=null, mag=3103546036, corpusid=227067890, pubmed=33207857, doi=10.5217/ir.2020.00025, pubmedcentral=8566837}","https://www.semanticscholar.org/paper/0af539301748a516ea83caff8fe738d8386200f1","Long-term safety and effectiveness of adalimumab in Japanese patients with Crohn’s disease: 3-year results from a real-world study","[{authorid=4051791, name=T. Hisamatsu}, {authorid=2111380272, name=Yasuo Suzuki}, {authorid=49556836, name=M. Kobayashi}, {authorid=2056464258, name=T. Hagiwara}, {authorid=65892409, name=T. Kawaberi}, {authorid=34806685, name=H. Ogata}, {authorid=5468466, name=T. Matsui}, {authorid=144096162, name=Mamoru Watanabe}, {authorid=49595204, name=T. Hibi}]","Intestinal Research","02c07c77-4178-40dc-9078-33103ee6bbe7","2020","33","12","0","true","[{category=Medicine, source=s2-fos-model}, {category=Medicine, source=external}]","[JournalArticle]","2020-11-20","{name=Intestinal Research, pages=408 - 418, volume=19}","227067890"
"4703886","{acl=null, dblp=null, arxiv=null, mag=2792569140, corpusid=4703886, pubmed=29516215, doi=10.1007/s00436-018-5775-0, pubmedcentral=5978925}","https://www.semanticscholar.org/paper/42a68e79f78fece3f27e41243e7b5b6592d74e67","Molecular detection and characterization of Theileria spp. infecting cattle in Sennar State, Sudan","[{authorid=144350203, name=Sofia B. Mohamed}, {authorid=7024367, name=Atif Alagib}, {authorid=36630706, name=Tahani B. AbdElkareim}, {authorid=145848979, name=Mohamed M. Hassan}, {authorid=1410015207, name=W. Johnson}, {authorid=145226308, name=H. Hussein}, {authorid=4159696, name=N. Taus}, {authorid=5824983, name=M. Ueti}]","Parasitology Research","bc1db5c6-8287-4548-b4b3-c2a7bf35f432","2018","23","16","0","true","[{category=Biology, source=s2-fos-model}, {category=Environmental Science, source=s2-fos-model}, {category=Medicine, source=s2-fos-model}, {category=Medicine, source=external}, {category=Biology, source=external}]","[JournalArticle]","2018-03-07","{name=Parasitology Research, pages=1271 - 1276, volume=117}","4703886"
"12793793","{acl=null, dblp=journals/ploscb/ToutounjiP14, arxiv=null, mag=2042788625, corpusid=12793793, pubmed=24651447, doi=10.1371/journal.pcbi.1003512, pubmedcentral=3961183}","https://www.semanticscholar.org/paper/51a2ee0b6d373daf4f1de60d940c3a0d2612f69d","Spatiotemporal Computations of an Excitable and Plastic Brain: Neuronal Plasticity Leads to Noise-Robust and Noise-Constructive Computations","[{authorid=2287346, name=Hazem Toutounji}, {authorid=1734512, name=G. Pipa}]","PLoS Comput. Biol.",,"2014","60","30","0","true","[{category=Computer Science, source=s2-fos-model}, {category=Computer Science, source=external}, {category=Medicine, source=external}]","[JournalArticle]","2014-03-01","{name=PLoS Computational Biology, pages=null, volume=10}","12793793"
"218609818","{acl=null, dblp=null, arxiv=null, mag=2103994392, corpusid=218609818, pubmed=22958367, doi=10.1186/2049-6958-7-5, pubmedcentral=3415124}","https://www.semanticscholar.org/paper/3884354cc643acd4de797c49f61e6d60c712e142","Anatomy and neuro-pathophysiology of the cough reflex arc","[{authorid=4188504, name=M. Polverino}, {authorid=5556192, name=F. Polverino}, {authorid=48884954, name=Marco Fasolino}, {authorid=5112483, name=Filippo Andò}, {authorid=153608327, name=A. Alfieri}, {authorid=2999614, name=F. De Blasio}]","Multidisciplinary Respiratory Medicine","71ed6d6b-423e-472c-8c0c-c64d8b25806c","2012","46","110","6","true","[{category=Medicine, source=s2-fos-model}, {category=Medicine, source=external}]","[JournalArticle, Review]","2012-06-18","{name=Multidisciplinary Respiratory Medicine, pages=5 - 5, volume=7}","218609818"
"30213736","{acl=null, dblp=null, arxiv=null, mag=2168128195, corpusid=30213736, pubmed=22553285, doi=10.1093/jxb/ers118, pubmedcentral=3398455}","https://www.semanticscholar.org/paper/d0f6064651686ac3a951e1005dd663beb431106e","Elevated CO2 and/or ozone modify lignification in the wood of poplars (Populus tremula x alba)","[{authorid=47947117, name=N. Richet}, {authorid=4921964, name=D. Afif}, {authorid=5894267, name=K. Tozo}, {authorid=50279141, name=B. Pollet}, {authorid=6641645, name=P. Maillard}, {authorid=144425528, name=F. Huber}, {authorid=4721459, name=P. Priault}, {authorid=6289047, name=J. Banvoy}, {authorid=40012847, name=P. Gross}, {authorid=6166625, name=P. Dizengremel}, {authorid=2741167, name=C. Lapierre}, {authorid=34021039, name=P. Perré}, {authorid=29901733, name=M. Cabané}]","Journal of Experimental Botany","2360b2ce-5340-4b89-b7d1-b4132d911e39","2012","55","35","1","true","[{category=Environmental Science, source=s2-fos-model}, {category=Medicine, source=external}, {category=Chemistry, source=external}]","[JournalArticle]","2012-05-02","{name=Journal of Experimental Botany, pages=4291 - 4301, volume=63}","30213736"
"108294106","{acl=null, dblp=null, arxiv=null, mag=2928506156, corpusid=108294106, pubmed=30970448, doi=10.5009/gnl18484, pubmedcentral=6622568}","https://www.semanticscholar.org/paper/53cd6f2818eec2bfc938cd0329228afe1c7fef30","Clinical Application of Circulating Tumor Cells in Gastric Cancer","[{authorid=2890995, name=M. Lee}, {authorid=2257851, name=G. Kim}, {authorid=5112380, name=Hye Kyung Jeon}, {authorid=6018908, name=S. J. Park}]","Gut and Liver","f3ef1bd9-b3c8-43e6-905e-e4e4e07f45f0","2019","71","22","0","true","[{category=Medicine, source=s2-fos-model}, {category=Medicine, source=external}]","[JournalArticle, Review]","2019-02-27","{name=Gut and Liver, pages=394 - 401, volume=13}","108294106"
